Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,BldgType,HouseStyle,OverallQual,OverallCond,Foundation,BsmtQual,BsmtCond,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Fireplaces,FireplaceQu,GarageQual,GarageCond,SaleCondition,PoolQC,Fence,LotArea_LotFrontage,FirePlace_LotArea,FirePlaces_LotFrontage,SalePriceCategorical,SalePrice,Selected,Selected (1),Selected (2)
continuous,20 30 40 45 50 60 70 75 80 85 90 120 160 180 190,C\ (all) FV RH RL RM,continuous,continuous,IR1 IR2 IR3 Reg,1Fam 2fmCon Duplex Twnhs TwnhsE,1.5Fin 1.5Unf 1Story 2.5Fin 2.5Unf 2Story SFoyer SLvl,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9,BrkTil CBlock PConc Slab Stone Wood,Ex Fa Gd TA N/A,Fa Gd Po TA N/A,Floor GasA GasW Grav OthW Wall,Ex Fa Gd Po TA,N Y,FuseA FuseF FuseP Mix SBrkr,Ex Fa Gd TA,continuous,Ex Fa Gd Po TA N/A,Ex Fa Gd Po TA N/A,Ex Fa Gd Po TA N/A,Abnorml AdjLand Alloca Family Normal Partial,Ex Fa Gd NA,GdPrv GdWo MnPrv MnWw NA,continuous,continuous,continuous,"Over\ 600,000 Under\ 200,000 Under\ 400,000 Under\ 600,000",continuous,No Yes,No Yes,No Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class,meta,meta,meta
0.0,60,RL,0.1506849315068493,0.03341980415527355,Reg,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0.0,N/A,TA,TA,Normal,NA,NA,0.016066384230052994,0.0,0.0,"Under 400,000",208500.0,No,No,No
0.0006854009595613434,20,RL,0.20205479452054792,0.03879501741101685,Reg,1Fam,1Story,6,8,CBlock,Gd,TA,GasA,Ex,Y,SBrkr,TA,0.3333333333333333,TA,TA,TA,Normal,NA,NA,0.022848124393886816,0.022300169574206136,0.08519701810436636,"Under 200,000",181500.0,No,No,No
0.0013708019191226869,60,RL,0.16095890410958902,0.04650727990838767,IR1,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0.3333333333333333,TA,TA,TA,Normal,NA,NA,0.022755117671639954,0.026133011219772816,0.0724174653887114,"Under 400,000",223500.0,No,No,No
0.00205620287868403,70,RL,0.13356164383561642,0.0385613124868541,IR1,1Fam,2Story,7,5,BrkTil,TA,Gd,GasA,Gd,Y,SBrkr,Gd,0.3333333333333333,Gd,TA,TA,Abnorml,NA,NA,0.016802687447840668,0.02218402285767381,0.06389776357827477,"Under 200,000",140000.0,No,No,No
0.0027416038382453737,60,RL,0.21575342465753422,0.06057631634298535,IR1,1Fam,2Story,8,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0.3333333333333333,TA,TA,TA,Normal,NA,NA,0.03617412755741747,0.0331250435550187,0.08945686900958467,"Under 400,000",250000.0,No,No,No
0.0034270047978067174,50,RL,0.2191780821917808,0.059898572062913366,IR1,1Fam,1.5Fin,5,5,Wood,Gd,TA,GasA,Ex,Y,SBrkr,TA,0.0,N/A,TA,TA,Normal,NA,MnPrv,0.036234116893266693,0.0,0.0,"Under 200,000",143000.0,No,No,No
0.00411240575736806,20,RL,0.18493150684931506,0.04105728107691229,Reg,1Fam,1Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,0.3333333333333333,Gd,TA,TA,Normal,NA,NA,0.022485398177124048,0.02342446979023903,0.07987220447284346,"Under 400,000",307000.0,No,No,No
0.004797806716929404,60,RL,0.16797930947954332,0.04245016242492229,IR1,1Fam,2Story,7,6,CBlock,Gd,TA,GasA,Ex,Y,SBrkr,TA,0.6666666666666666,TA,TA,TA,Normal,NA,NA,0.02158505180387166,0.048233408441543356,0.1492011892822719,"Under 400,000",200000.0,No,No,No
0.0054832076764907475,50,RM,0.10273972602739725,0.022529154689289302,Reg,1Fam,1.5Fin,7,5,BrkTil,TA,TA,GasA,Gd,Y,FuseF,TA,0.6666666666666666,TA,Fa,TA,Abnorml,NA,NA,0.008714822881253389,0.028432716207112824,0.1086261980830671,"Under 200,000",129900.0,No,No,Yes
